  x           y
 0.0	     1.0000
 0.5	     0.8776
 1.0	     0.5403
 1.5	     0.0707
 2.0	    -0.4161
 2.5	    -0.8011
 3.0	    -0.9900
 3.5	    -0.9365
 4.0	    -0.6536
 4.5	    -0.2108
 5.0	     0.2837
 5.5	     0.7087
 6.0	     0.9602
 6.5	     0.9766
 7.0	     0.7539
 7.5	     0.3466
 8.0	    -0.1455
 8.5	    -0.6020
 9.0	    -0.9111
 9.5	    -0.9972
10.0	    -0.8391
10.5	    -0.4755
11.0	     0.0044
11.5	     0.4833
12.0	     0.8439
12.5	     0.9978
13.0	     0.9074
13.5	     0.5949
14.0	     0.1367
14.5	    -0.3549
15.0	    -0.7597
15.5	    -0.9785
16.0	    -0.9577
16.5	    -0.7024
17.0	    -0.2752
17.5	     0.2194
18.0	     0.6603
18.5	     0.9395
19.0	     0.9887
19.5	     0.7958
20.0	     0.4081
20.5	    -0.0796
21.0	    -0.5477
21.5	    -0.8818
22.0	    -1.0000
22.5	    -0.8733
23.0	    -0.5328
23.5	    -0.0619
24.0	     0.4242
24.5	     0.8064
25.0	     0.9912
25.5	     0.9333
26.0	     0.6469
26.5	     0.2021
27.0	    -0.2921
27.5	    -0.7149
28.0	    -0.9626
28.5	    -0.9746
29.0	    -0.7481
29.5	    -0.3383
30.0	     0.1543
